30 Sep 2015 22:18:10 | ABUNDANT |        log |    DEBUG | - - - - - - - - - - - - - -
30 Sep 2015 22:18:10 | ABUNDANT |        log |    DEBUG | Logger is ready
30 Sep 2015 22:18:10 | ABUNDANT |     config |     INFO | Loaded initialisation config
30 Sep 2015 22:18:10 | ABUNDANT |     config |     INFO | Loaded master config
30 Sep 2015 22:18:25 | ABUNDANT |    archive |    ERROR | Archive config not found at D:/b/meta/archive_config.json
30 Sep 2015 22:19:46 | ABUNDANT |        log |    DEBUG | - - - - - - - - - - - - - -
30 Sep 2015 22:19:46 | ABUNDANT |        log |    DEBUG | Logger is ready
30 Sep 2015 22:19:46 | ABUNDANT |     config |     INFO | Loaded initialisation config
30 Sep 2015 22:19:46 | ABUNDANT |     config |     INFO | Loaded master config
01 Oct 2015 12:57:41 | ABUNDANT |        log |    DEBUG | - - - - - - - - - - - - - -
01 Oct 2015 12:57:41 | ABUNDANT |        log |    DEBUG | Logger is ready
01 Oct 2015 12:57:41 | ABUNDANT |     config |     INFO | Loaded initialisation config
01 Oct 2015 12:57:41 | ABUNDANT |     config |     INFO | Loaded master config
01 Oct 2015 12:58:51 | ABUNDANT |        log |    DEBUG | - - - - - - - - - - - - - -
01 Oct 2015 12:58:51 | ABUNDANT |        log |    DEBUG | Logger is ready
01 Oct 2015 12:58:51 | ABUNDANT |     config |     INFO | Loaded initialisation config
01 Oct 2015 12:58:51 | ABUNDANT |     config |     INFO | Loaded master config
01 Oct 2015 12:59:09 | ABUNDANT |        log |    DEBUG | - - - - - - - - - - - - - -
01 Oct 2015 12:59:09 | ABUNDANT |        log |    DEBUG | Logger is ready
01 Oct 2015 12:59:09 | ABUNDANT |     config |     INFO | Loaded initialisation config
01 Oct 2015 12:59:09 | ABUNDANT |     config |     INFO | Loaded master config
01 Oct 2015 13:00:23 | ABUNDANT |        log |    DEBUG | - - - - - - - - - - - - - -
01 Oct 2015 13:00:23 | ABUNDANT |        log |    DEBUG | Logger is ready
01 Oct 2015 13:00:23 | ABUNDANT |     config |     INFO | Loaded initialisation config
01 Oct 2015 13:00:23 | ABUNDANT |     config |     INFO | Loaded master config
